idbarrio#,namebarrio,id_barrio,No lee %,Asiste a Educación 5-21 años,Asiste a Educación superior,Desempleo,Estrato,barrio,Pertenenci,Cluster,cluster
101,Terron Colorado,0101,0.037507065,0.64761159,0.176180445,0.212204207,2,Terron Colorado,0.025206813,2,4
102,Vista Hermosa,0102,0.044552846,0.62373194,0.142439024,0.20696099,1,Vista Hermosa,0.024790859,2,4
196,Sector Patio Bonito,0196,0.049597507,0.61852861,0.109062581,0.210644258,1,Sector Patio Bonito,0.044874939,2,4
199,Aguacatal,0199,0.040187052,0.673977225,0.281747771,0.178117851,1,Aguacatal,0.037469119,2,1
201,Santa Rita,0201,0.014354067,0.79,0.637320574,0.088495575,6,Santa Rita,0.037209302,1,0
202,Santa Teresita,0202,0.006909789,0.883977901,0.684836852,0.091876972,6,Santa Teresita,0.030574198,1,0
203,Arboledas,0203,0.020385675,0.834170854,0.58677686,0.118777293,6,Arboledas,0.021354167,1,0
204,Normandia,0204,0.020070838,0.879781421,0.638134593,0.101359703,6,Normandia,0.029663434,1,0
205,Juanambu,0205,0.011851852,0.855319149,0.67037037,0.096431283,5,Juanambú,0.033837293,1,0
206,Centenario,0206,0.006387509,0.813471503,0.580553584,0.092430859,5,Centenario,0.042420028,1,0
207,Granada,0207,0.006469501,0.764127764,0.57116451,0.103459119,4,Granada,0.056660639,1,0
208,Versalles,0208,0.014728682,0.864661654,0.570542636,0.128751975,5,Versalles,0.031273837,1,0
209,San Vicente,0209,0.015763945,0.691823899,0.531932094,0.161384487,4,San Vicente,0.028368794,1,0
210,Santa Monica,0210,0.009349435,0.779220779,0.587066615,0.108505564,5,Santa Mónica,0.033218786,1,0
211,Prados del Norte,0211,0.011114123,0.773766546,0.585388994,0.127130682,5,Prados del Norte,0.033959819,1,0
212,La Flora,0212,0.007537012,0.836389281,0.593539704,0.136628714,5,La Flora,0.035005225,1,0
213,La Campiña,0213,0.012452626,0.696335079,0.514347591,0.170594837,4,La Campiña,0.040709812,1,0
214,La Paz,0214,0.00802139,0.658536585,0.454545455,0.152354571,3,La Paz,0.043367347,1,0
215,El Bosque,0215,0.008578888,0.786283892,0.575904513,0.133980583,5,El Bosque,0.028315412,1,0
216,Menga,0216,0.01951952,0.614457831,0.489489489,0.151273885,6,Menga,0.047752809,1,0
217,Ciudad de Los Alamos,0217,0.01612347,0.758721878,0.488360062,0.158171594,3,Ciudad de Los Alamos,0.047508691,1,0
218,Chipichape,0218,0.016025641,0.915492958,0.612980769,0.131092437,5,Chipichape,0.025902669,1,0
219,Brisas de Los Alamos,0219,0.0199443,0.676556137,0.394034678,0.178670493,3,Brisas de Los Alamos,0.049957519,2,1
293,Urbanizacion La Merced,0293,0.01210121,0.80878553,0.545929593,0.162757437,4,Urbanización La Merced,0.046654226,1,0
294,Vipasa,0294,0.010251631,0.747846515,0.539608574,0.143874413,4,Vipasa,0.03371463,1,0
